Country,GDP per capita [USD],Unemployment Rate [%],Inflation Rate [%]
Albania,14520,11.5,8.1
Austria,53945,5.7,11
Belarus,19751,3.9,17.4
Belgium,51602,5.8,12.27
Bosnia and Herzegovina,15635,30.17,17.3
Bulgaria,23432,4.3,18.7
Croatia,31047,6.1,12.8
Cyprus,40791,8.6,8.74
Czech Republic,39778,3.5,18
Denmark,58187,2.5,10
Estonia,38207,5.8,23.7
Fareo Islands,,0.3,8.8
Finland,48937,6.7,8.1
France,45187,7.4,6.2
Germany,52931,5.5,10.4
Greece,29428,12.2,12
Hungary,33518,3.7,20.1
Iceland,53463,3.6,9.4
Ireland,102154,4.3,8.2
Italy,41937,7.8,11.9
Kosovo,11579,17.7,12.7
Latvia,31689,6.6,22.2
Liechtenstein,,1.9,3.5
Lithuania,38958,8.1,24.1
Luxembourg,118680,4.8,6.9
Macedonia,16464,14.5,18.7
Malta,44395,2.9,7.4
Moldova,14234,2.4,33.97
Montenegro,20567,19.08,16
Netherlands,56761,3.8,14.5
Norway,65689,3.2,6.9
Poland,34363,5.1,17.9
Portugal,33514,5.7,10.2
Romania,30855,5.1,15.9
Russia,27970,3.8,13.7
Serbia,19762,8.9,14
Slovakia,31498,6.1,14.2
Slovenia,39970,5.5,9.9
Spain,38098,12.67,7.3
Sweden,53050,6.5,10.8
Switzerland,70793,1.9,3.3
Turkay,31252,9.6,83.45
Ukraine,12944,10.6,24.6
United Kingdom,45839,3.5,10.1
